 Energy     cs_(fb)   
 200      0.0000E+00 
 205      0.0000E+00 
 210      0.0000E+00 
 215      0.0000E+00 
 220      8.0620E+01 
 225      1.3218E+02 
 230      1.7821E+02 
 235      1.9679E+02 
 240      2.1399E+02 
 245      2.2063E+02 
 250      2.2579E+02 
 255      2.2694E+02 
 260      2.2627E+02 
 265      2.2462E+02 
 270      2.2092E+02 
 275      2.1786E+02 
 280      2.1260E+02 
 285      2.0890E+02 
 290      2.0297E+02 
 295      1.9890E+02 
 300      1.9284E+02 
 305      1.8874E+02 
 310      1.8261E+02 
 315      1.7862E+02 
 320      1.7276E+02 
 325      1.6891E+02 
 330      1.6332E+02 
 335      1.5967E+02 
 340      1.5440E+02 
 345      1.5099E+02 
 350      1.4602E+02 
 350      1.4602E+02 
 355      1.4282E+02 
 360      1.3821E+02 
 365      1.3524E+02 
 370      1.3093E+02 
 375      1.2812E+02 
 380      1.2412E+02 
 385      1.2154E+02 
 390      1.1779E+02 
 395      1.1539E+02 
 400      1.1193E+02 
 405      1.0968E+02 
 410      1.0645E+02 
 415      1.0438E+02 
 420      1.0136E+02 
 425      9.9398E+01 
 430      9.6607E+01 
 435      9.4800E+01 
 440      9.2181E+01 
 445      9.0497E+01 
 450      8.8058E+01 
 455      8.6473E+01 
 460      8.4213E+01 
 465      8.2723E+01 
 470      8.0577E+01 
 475      7.9203E+01 
 480      7.7202E+01 
 485      7.5897E+01 
 490      7.4023E+01 
 495      7.2806E+01 
 500      7.1042E+01 
 505      6.9903E+01 
 510      6.8254E+01 
 515      6.7170E+01 
 520      6.5613E+01 
 525      6.4608E+01 
 530      6.3142E+01 
 535      6.2181E+01 
 540      6.0782E+01 
 545      5.9894E+01 
 550      5.8576E+01 
 555      5.7733E+01 
 560      5.6501E+01 
 565      5.5697E+01 
 570      5.4527E+01 
 575      5.3757E+01 
 580      5.2649E+01 
 585      5.1943E+01 
 590      5.0873E+01 
 595      5.0194E+01 
 600      4.9191E+01 
 605      4.8538E+01 
 610      4.7608E+01 
 615      4.6982E+01 
 620      4.6082E+01 
 625      4.5494E+01 
 630      4.4632E+01 
 635      4.4076E+01 
 640      4.3262E+01 
 645      4.2736E+01 
 650      4.1955E+01 
 655      4.1451E+01 
 660      4.0709E+01 
 665      4.0233E+01 
 670      3.9518E+01 
 675      3.9059E+01 
 680      3.8377E+01 
 685      3.7938E+01 
 690      3.7299E+01 
 695      3.6870E+01 
 700      3.6257E+01 
 705      3.5853E+01 
 710      3.5265E+01 
 715      3.4875E+01 
 720      3.4307E+01 
 725      3.3932E+01 
 730      3.3390E+01 
 735      3.3031E+01 
 740      3.2515E+01 
 745      3.2170E+01 
 750      3.1671E+01 
 755      3.1350E+01 
 760      3.0867E+01 
 765      3.0558E+01 
 770      3.0091E+01 
 775      2.9790E+01 
 780      2.9350E+01 
 785      2.9061E+01 
 790      2.8634E+01 
 795      2.8354E+01 
 800      2.7946E+01 
 805      2.7671E+01 
 810      2.7282E+01 
 815      2.7016E+01 
 820      2.6635E+01 
 825      2.6385E+01 
 830      2.6025E+01 
 835      2.5788E+01 
 840      2.5428E+01 
 845      2.5202E+01 
 850      2.4861E+01 
 855      2.4634E+01 
 860      2.4303E+01 
 865      2.4084E+01 
 870      2.3772E+01 
 875      2.3552E+01 
 880      2.3250E+01 
 885      2.3052E+01 
 890      2.2755E+01 
 895      2.2561E+01 
 900      2.2274E+01 
 905      2.2082E+01 
 910      2.1806E+01 
 915      2.1621E+01 
 920      2.1358E+01 
 925      2.1178E+01 
 930      2.0920E+01 
 935      2.0750E+01 
 940      2.0498E+01 
 945      2.0335E+01 
 950      2.0093E+01 
 955      1.9932E+01 
 960      1.9695E+01 
 965      1.9536E+01 
 970      1.9304E+01 
 975      1.9155E+01 
 980      1.8938E+01 
 985      1.8790E+01 
 990      1.8576E+01 
 995      1.8427E+01 
 1000      1.8220E+01 
