 Mh3     Width   
100   2.83808E-03  
109   3.09409E-03  
118   3.35005E-03  
127   3.60597E-03  
136   3.86187E-03  
145   4.11775E-03  
154   4.37361E-03  
163   6.71781E-03  
172   9.19017E-03  
181   1.13181E-02  
190   1.57701E-02  
199   1.94708E-02  
208   2.33440E-02  
217   2.75696E-02  
226   3.89131E-02  
235   1.23872E-01  
244   3.95141E-01  
253   8.08032E-01  
262   1.36317E+00  
271   2.01975E+00  
280   2.78580E+00  
289   3.66289E+00  
298   4.65256E+00  
307   5.76200E+00  
316   6.98491E+00  
325   8.32570E+00  
334   9.78721E+00  
343   1.13721E+01  
352   4.30295E+01  
361   5.89143E+01  
370   7.17091E+01  
379   8.30683E+01  
388   9.35976E+01  
397   1.03600E+02  
406   1.13251E+02  
415   1.22667E+02  
424   1.31926E+02  
433   1.41085E+02  
442   1.50190E+02  
451   1.59273E+02  
460   1.68364E+02  
469   1.77483E+02  
478   1.86652E+02  
487   1.95886E+02  
496   2.05199E+02  
505   2.14604E+02  
514   2.24112E+02  
523   2.33734E+02  
532   2.43478E+02  
541   2.53353E+02  
550   2.63367E+02  
559   2.73526E+02  
568   2.83838E+02  
577   2.94309E+02  
586   3.04946E+02  
595   3.15753E+02  
604   3.26737E+02  
613   3.37902E+02  
622   3.49254E+02  
631   3.60799E+02  
640   3.72540E+02  
649   3.84482E+02  
658   3.96630E+02  
667   4.08988E+02  
676   4.21561E+02  
685   4.34353E+02  
694   4.47367E+02  
703   4.60609E+02  
712   4.74082E+02  
721   4.87790E+02  
730   5.01738E+02  
739   5.15928E+02  
748   5.30365E+02  
757   5.45052E+02  
766   5.59994E+02  
775   5.75193E+02  
784   5.90655E+02  
793   6.06381E+02  
802   6.22377E+02  
811   6.38645E+02  
820   6.55190E+02  
829   6.72014E+02  
838   6.89121E+02  
847   7.06515E+02  
856   7.24199E+02  
865   7.42177E+02  
874   7.60452E+02  
883   7.79027E+02  
892   7.97907E+02  
901   8.17094E+02  
910   8.36592E+02  
919   8.56405E+02  
928   8.76535E+02  
937   8.96986E+02  
946   9.17761E+02  
955   9.38864E+02  
964   9.60299E+02  
973   9.82068E+02  
982   1.00417E+03  
991   1.02662E+03  
1000   1.04942E+03  
