 Energy    cs_(pb)   
 200.0    0.0000E+00 
 205.0    0.0000E+00 
 210.0    0.0000E+00 
 215.0    0.0000E+00 
 220.0    1.4247E-01 
 225.0    1.9538E-01 
 230.0    2.2148E-01 
 235.0    2.3487E-01 
 240.0    2.4089E-01 
 245.0    2.4232E-01 
 250.0    2.4075E-01 
 255.0    2.3721E-01 
 260.0    2.3237E-01 
 265.0    2.2669E-01 
 270.0    2.2050E-01 
 275.0    2.1401E-01 
 280.0    2.0739E-01 
 285.0    2.0074E-01 
 290.0    1.9416E-01 
 295.0    1.8770E-01 
 300.0    1.8139E-01 
 305.0    1.7527E-01 
 310.0    1.6934E-01 
 315.0    1.6362E-01 
 320.0    1.5812E-01 
 325.0    1.5283E-01 
 330.0    1.4775E-01 
 335.0    1.4288E-01 
 340.0    1.3821E-01 
 345.0    1.3373E-01 
 350.0    1.2945E-01 
 355.0    1.2535E-01 
 360.0    1.2142E-01 
 365.0    1.1766E-01 
 370.0    1.1406E-01 
 375.0    1.1061E-01 
 380.0    1.0730E-01 
 385.0    1.0413E-01 
 390.0    1.0110E-01 
 395.0    9.8188E-02 
 400.0    9.5396E-02 
 405.0    9.2717E-02 
 410.0    9.0147E-02 
 415.0    8.7678E-02 
 420.0    8.5306E-02 
 425.0    8.3028E-02 
 430.0    8.0837E-02 
 435.0    7.8730E-02 
 440.0    7.6704E-02 
 445.0    7.4753E-02 
 450.0    7.2875E-02 
 455.0    7.1067E-02 
 460.0    6.9324E-02 
 465.0    6.7644E-02 
 470.0    6.6024E-02 
 475.0    6.4461E-02 
 480.0    6.2953E-02 
 485.0    6.1498E-02 
 490.0    6.0092E-02 
 495.0    5.8734E-02 
 500.0    5.7421E-02 
 505.0    5.6153E-02 
 510.0    5.4925E-02 
 515.0    5.3738E-02 
 520.0    5.2588E-02 
 525.0    5.1476E-02 
 530.0    5.0398E-02 
 535.0    4.9354E-02 
 540.0    4.8343E-02 
 545.0    4.7362E-02 
 550.0    4.6411E-02 
 555.0    4.5489E-02 
 560.0    4.4594E-02 
 565.0    4.3725E-02 
 570.0    4.2882E-02 
 575.0    4.2063E-02 
 580.0    4.1268E-02 
 585.0    4.0495E-02 
 590.0    3.9743E-02 
 595.0    3.9013E-02 
 600.0    3.8303E-02 
 605.0    3.7613E-02 
 610.0    3.6941E-02 
 615.0    3.6287E-02 
 620.0    3.5650E-02 
 625.0    3.5031E-02 
 630.0    3.4427E-02 
 635.0    3.3839E-02 
 640.0    3.3266E-02 
 645.0    3.2708E-02 
 650.0    3.2163E-02 
 655.0    3.1633E-02 
 660.0    3.1116E-02 
 665.0    3.0611E-02 
 670.0    3.0119E-02 
 675.0    2.9638E-02 
 680.0    2.9169E-02 
 685.0    2.8711E-02 
 690.0    2.8264E-02 
 695.0    2.7828E-02 
 700.0    2.7401E-02 
 705.0    2.6985E-02 
 710.0    2.6578E-02 
 715.0    2.6181E-02 
 720.0    2.5792E-02 
 725.0    2.5412E-02 
 730.0    2.5040E-02 
 735.0    2.4677E-02 
 740.0    2.4322E-02 
 745.0    2.3974E-02 
 750.0    2.3634E-02 
 755.0    2.3301E-02 
 760.0    2.2975E-02 
 765.0    2.2656E-02 
 770.0    2.2344E-02 
 775.0    2.2038E-02 
 780.0    2.1739E-02 
 785.0    2.1446E-02 
 790.0    2.1158E-02 
 795.0    2.0877E-02 
 800.0    2.0601E-02 
 805.0    2.0330E-02 
 810.0    2.0065E-02 
 815.0    1.9805E-02 
 820.0    1.9550E-02 
 825.0    1.9301E-02 
 830.0    1.9056E-02 
 835.0    1.8815E-02 
 840.0    1.8579E-02 
 845.0    1.8348E-02 
 850.0    1.8121E-02 
 855.0    1.7898E-02 
 860.0    1.7680E-02 
 865.0    1.7465E-02 
 870.0    1.7254E-02 
 875.0    1.7048E-02 
 880.0    1.6844E-02 
 885.0    1.6645E-02 
 890.0    1.6449E-02 
 895.0    1.6257E-02 
 900.0    1.6068E-02 
 905.0    1.5882E-02 
 910.0    1.5700E-02 
 915.0    1.5520E-02 
 920.0    1.5344E-02 
 925.0    1.5171E-02 
 930.0    1.5000E-02 
 935.0    1.4833E-02 
 940.0    1.4669E-02 
 945.0    1.4507E-02 
 950.0    1.4348E-02 
 955.0    1.4191E-02 
 960.0    1.4037E-02 
 965.0    1.3886E-02 
 970.0    1.3737E-02 
 975.0    1.3591E-02 
 980.0    1.3446E-02 
 985.0    1.3304E-02 
 990.0    1.3165E-02 
 995.0    1.3027E-02 
 1000.0    1.2892E-02 
