 Energy     cs_(fb)   
 100      0.0000E+00 
 110      0.0000E+00 
 120      0.0000E+00 
 130      1.6861E-05 
 140      3.5172E-03 
 150      3.4011E-02 
 160      1.3710E-01 
 170      3.6723E-01 
 180      7.7997E-01 
 190      1.4344E+00 
 200      2.4239E+00 
 210      4.0597E+00 
 220      1.1275E+01 
 230      1.8012E+01 
 240      2.0910E+01 
 250      2.2593E+01 
 260      2.3663E+01 
 270      2.4695E+01 
 280      2.5783E+01 
 290      2.7034E+01 
 300      2.8258E+01 
 310      2.9736E+01 
 320      3.1433E+01 
 330      3.3125E+01 
 340      3.5135E+01 
 350      3.7247E+01 
 360      3.9427E+01 
 370      4.1649E+01 
 380      4.4107E+01 
 390      4.6373E+01 
 400      4.8931E+01 
 410      5.1685E+01 
 420      5.4320E+01 
 430      5.7002E+01 
 440      5.9681E+01 
 450      6.2418E+01 
 460      6.5378E+01 
 470      6.8206E+01 
 480      7.0996E+01 
 490      7.3820E+01 
 500      7.6903E+01 
 510      7.9697E+01 
 520      8.2586E+01 
 530      8.5880E+01 
 540      8.8464E+01 
 550      9.1225E+01 
 560      9.4563E+01 
 570      9.7421E+01 
 580      1.0067E+02 
 590      1.0317E+02 
 600      1.0633E+02 
 610      1.0942E+02 
 620      1.1193E+02 
 630      1.1509E+02 
 640      1.1784E+02 
 650      1.2080E+02 
 660      1.2414E+02 
 670      1.2635E+02 
 680      1.2925E+02 
 690      1.3255E+02 
 700      1.3559E+02 
 710      1.3736E+02 
 720      1.4044E+02 
 730      1.4379E+02 
 740      1.4715E+02 
 750      1.4886E+02 
 760      1.5196E+02 
 770      1.5433E+02 
 780      1.5712E+02 
 790      1.6010E+02 
 800      1.6250E+02 
 810      1.6554E+02 
 820      1.6806E+02 
 830      1.7114E+02 
 840      1.7375E+02 
 850      1.7561E+02 
 860      1.7895E+02 
 870      1.8078E+02 
 880      1.8304E+02 
 890      1.8661E+02 
 900      1.8896E+02 
 910      1.9121E+02 
 920      1.9360E+02 
 930      1.9706E+02 
 940      1.9819E+02 
 950      2.0195E+02 
 960      2.0382E+02 
 970      2.0643E+02 
 980      2.0848E+02 
 990      2.1011E+02 
 1000      2.1303E+02 
